"sample_id","Homo_zygote_gain","Hemi_zygote_gain","NoChange","Hemi_zygote_loss","Homo_zygote_loss","type_status","HoGain","HeGain","HeLoss","HoLoss","CNV_Changed","Gain","Loss","CNV_D","CNV_Status","Gain_n","Loss_n","Loss_ov_Gain","Loss_eq_Gain","Condition","QuantileThreshold","Cluster"
"TCGA.EJ.A46E.01",39,0,24736,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.00161446561188247,"[0,0.031]",1
"TCGA.EJ.A46F.01",1,2165,21320,1273,17,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.139489828866645,"(0.0836,0.184]",3
"TCGA.EJ.A46G.01",1777,4400,17922,0,677,FALSE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.276638682596061,"(0.184,0.791]",4
"TCGA.EJ.A46H.01",0,0,24776,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,TRUE,0,"[0,0.031]",1
"TCGA.EJ.A46I.01",0,0,24707,0,69,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.00278495318049726,"[0,0.031]",1
"TCGA.EJ.A65B.01",0,0,23159,1617,0,TRUE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,1,2,0,1,FALSE,TRUE,0.0652647723603487,"(0.031,0.0836]",2
"TCGA.EJ.A65D.01",351,0,22604,1806,15,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.087665482725218,"(0.0836,0.184]",3
"TCGA.EJ.A65E.01",9,0,24036,716,15,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,TRUE,FALSE,0.0298676138198256,"[0,0.031]",1
"TCGA.EJ.A65F.01",0,3514,20126,0,1136,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.187681627381337,"(0.184,0.791]",4
"TCGA.EJ.A65G.01",0,0,24770,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.00024216984178237,"[0,0.031]",1
"TCGA.EJ.A65J.01",0,1254,22304,0,1218,TRUE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0997739748143365,"(0.0836,0.184]",3
"TCGA.EJ.A65M.01",30,4833,18762,0,1151,FALSE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.242734904746529,"(0.184,0.791]",4
"TCGA.EJ.A6RA.01",2,0,24773,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,TRUE,0.000121084920891185,"[0,0.031]",1
"TCGA.EJ.A6RC.01",4,0,24770,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,FALSE,TRUE,0.00024216984178237,"[0,0.031]",1
"TCGA.EJ.A7NF.01",7,0,23333,949,487,TRUE,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.05824184694866,"(0.031,0.0836]",2
